taxonomy	sig_corrs
Otu00001	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	-0.208603094258781
Otu00003	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0.538024818369387
Otu00005	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.495437756652628
Otu00006	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.561861123816496
Otu00007	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.165156228702747
Otu00008	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.476241527619241
Otu00010	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.58826215404384
Otu00011	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.513197835285053
Otu00012	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	-0.585781167692074
Otu00013	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.491051687095852
Otu00014	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.437394612172283
Otu00015	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.631023740047114
Otu00016	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	-0.31091155045508
Otu00017	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	-0.452268370007194
Otu00018	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.513180447115428
Otu00019	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.519635080137773
Otu00021	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	-0.545128206521539
Otu00022	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	-0.239586249708914
Otu00023	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	-0.575444407746412
Otu00025	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	-0.63559399527521
Otu00026	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	-0.262865939508324
Otu00027	Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	-0.311955516353314
Otu00029	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	-0.309688872305043
Otu00033	Bacteria;Firmicutes	-0.371249438678051
Otu00039	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.251160700879246
Otu00052	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	0.199083350191113
Otu00087	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	0.237974245762238
Otu00090	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.387380578475817
Otu00092	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.285049632876566
Otu00094	Bacteria;Firmicutes;Bacilli;Bacillales	0.219878036088974
Otu00110	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	0.16597074096354
